Word/Idiom,Meaning,Episode,Memory Palace,Part of Speech,Verb (if relevant)
ni siquiera,"ni siquiera: ""not even"" (idiom)",93,,"Cluster, Idiom",
para,"para: ""for"", as in ""too much for"" (preposition)",93,,"Preposition, Preposition",
quizá,"quizá: ""maybe"" (adverb)",93,,"Adverb, Whether (formerly ""boolean"")",
quizás,"quizás: ""maybe"" (adverb)",93,,"Adverb, Whether (formerly ""boolean"")",
realmente,"realmente: ""really""/""truly"" (adverb)",93,,"Adverb, Whether (formerly ""boolean"")",
siquiera,"siquiera: ""at least"" / ""even"" (adverb)",93,,"Adverb, Whether (formerly ""boolean"")",
tampoco,"tampoco: ""neither"", ""not"" (adverb)",93,,"Adverb, Whether (formerly ""boolean"")",
tanto,"tanto: ""so much"" (adverb)",93,,"Adverb, Quantity (amount/degree)",
a gusto,"a gusto: ""comfortable"" (idiom)",94,,"Cluster, Idiom",
amor,"amor: ""love"" (masc. noun)",94,,"Noun, Noun",
cariño,"cariño: ""affection"" / ""darling"" (masc. noun)",94,,"Noun, Noun",
clase,"clase: ""class"" (fem. noun)",94,,"Noun, Noun",
con cariño,"con cariño: ""affectionately"" (idiom)",94,,"Cluster, Idiom",
equipo,"equipo: ""team"" (masc. noun)",94,,"Noun, Noun",
gusto,"gusto: ""pleasure"" (masc. noun)",94,,"Noun, Noun",
miedo,"miedo: ""fear"" (masc. noun)",94,,"Noun, Noun",
paz,"paz: ""peace"" (fem. noun)",94,,"Noun, Noun",
policía,"policía: ""police"" / ""police force"" (fem. noun)",94,,"Noun, Noun",
qué suerte,"qué suerte: ""how lucky"" (idiom)",94,,"Cluster, Idiom",
suerte,"suerte: ""luck"" (fem. noun)",94,,"Noun, Noun",
supone,"supone: supposes, he/she/it supposes (Suponer, present, 3rd person)",94,,"Verb, Verb",Suponer
suponer,suponer: to suppose (infinitive),94,,"Verb, Verb",Suponer
supongo,"supongo: suppose, I suppose (Suponer, present, 1st person)",94,,"Verb, Verb",Suponer
supuesto,supuesto: supposed (Suponer participle),94,,"Verb, Verb",Suponer
supuse,"supuse: supposed, I supposed (Suponer, preterite, 1st person)",94,,"Verb, Verb",Suponer
tener miedo,tener miedo: to be afraid (idiom),94,,"Cluster, Idiom",
tenerle cariño a alguien,tenerle cariño a alguien: to be fond of someone (idiom),94,,"Cluster, Idiom",
por supuesto,"por supuesto: ""of course"" (idiom)",95,,"Cluster, Idiom",
se supone que,"suponerse: any use of Suponer with a reflexive, plus ""que"", pronoun, changing the meaning to ""supposedly""",95,,"Cluster, Idiom",
suponía,"suponía: supposed, he/she/it supposed (Suponer, imperfect, 3rd person)",95,,"Verb, Verb",Suponer
a ver,"a ver: ""let's see"" (idiom)",96,,"Cluster, Idiom",
ve,"ve: sees, he/she/it sees (Ver, present, 3rd person)",96,,"Verb, Verb",Ver
vea,"vea: see, I see (Ver, subjunctive, 1st person)",96,,"Verb, Verb",Ver
vea,"vea: see, he/she/it see (Ver, subjunctive, 3rd person)",96,,"Verb, Verb",Ver
veamos,"veamos: see, we see (Ver, subjunctive, 1st person plural)",96,,"Verb, Verb",Ver
veamos,"veamos: let's see (Ver, imperative, 1st person plural)",96,,"Verb, Verb",Ver
vean,"vean: see, they see (Ver, subjunctive, 3rd person plural)",96,,"Verb, Verb",Ver
veas,"veas: see, you see (Ver, subjunctive, 2nd person)",96,,"Verb, Verb",Ver
veía,"veía: saw, he/she/it saw (Ver, imperfect, 3rd person)",96,,"Verb, Verb",Ver
veía,"veía: saw, I saw (Ver, imperfect, 1st person)",96,,"Verb, Verb",Ver
veíamos,"veíamos: saw, we saw (Ver, imperfect, 1st person plural)",96,,"Verb, Verb",Ver
veían,"veían: saw, they saw (Ver, imperfect, 3rd person plural)",96,,"Verb, Verb",Ver
veías,"veías: saw, you saw (Ver, imperfect, 2nd person)",96,,"Verb, Verb",Ver
vemos,"vemos: see, we see (Ver, present, 1st person plural)",96,,"Verb, Verb",Ver
ven,"ven: see, they see (Ver, present, 3rd person plural)",96,,"Verb, Verb",Ver
veo,"veo: see, I see (Ver, present, 1st person)",96,,"Verb, Verb",Ver
ver,ver: to see (infinitive),96,,"Verb, Verb",Ver
verá,"verá: will see, he/she/it will see (Ver, future, 3rd person)",96,,"Verb, Verb",Ver
verán,"verán: will see, they will see (Ver, future, 3rd person plural)",96,,"Verb, Verb",Ver
verás,"verás: will see, you will see (Ver, future, 2nd person)",96,,"Verb, Verb",Ver
veré,"veré: will see, I will see (Ver, future, 1st person)",96,,"Verb, Verb",Ver
veremos,"veremos: will see, we will see (Ver, future, 1st person plural)",96,,"Verb, Verb",Ver
verlo,verlo: to see it/him (infinitive contraction),96,,"Verb, Verb",Ver
verte,verte: “to see you” (infinitive contraction),96,,"Verb, Verb",Ver
ves,"ves: see, you see (Ver, present, 2nd person)",96,,"Verb, Verb",Ver
vi,"vi: saw, I saw (Ver, preterite, 1st person)",96,,"Verb, Verb",Ver
viendo,viendo: seeing (Ver gerund),96,,"Verb, Verb",Ver
vieron,"vieron: saw, they saw (Ver, preterite, 3rd person plural)",96,,"Verb, Verb",Ver
vimos,"vimos: saw, we saw (Ver, preterite, 1st person plural)",96,,"Verb, Verb",Ver
vio,"vio: saw, he/she/it saw (Ver, preterite, 3rd person)",96,,"Verb, Verb",Ver
viste,"viste: saw, you saw (Ver, preterite, 2nd person)",96,,"Verb, Verb",Ver
visto,visto: seen (Ver participle),96,,"Verb, Verb",Ver
ven,"ven: see, they see (Venir, present, 3rd person plural)",97,,"Verb, Verb",Venir
venga,"venga: come, I come (Venir, subjunctive, 1st person)",97,,"Verb, Verb",Venir
venga,"venga: come, he/she/it come (Venir, subjunctive, 3rd person)",97,,"Verb, Verb",Venir
venga,"venga: come, he/she/it come (Venir, imperative, 3rd person)",97,,"Verb, Verb",Venir
vengamos,"vengamos: come, we come (Venir, subjunctive, 1st person plural)",97,,"Verb, Verb",Venir
vengamos,"vengamos: come, we come (Venir, imperative, 1st person plural)",97,,"Verb, Verb",Venir
vengan,"vengan: come, they come (Venir, subjunctive, 3rd person plural)",97,,"Verb, Verb",Venir
vengan,"vengan: come, they come (Venir, imperative, 3rd person plural)",97,,"Verb, Verb",Venir
vengas,"vengas: come, you come (Venir, subjunctive, 2nd person)",97,,"Verb, Verb",Venir
vengas,"vengas: come, you come (Venir, imperative, 2nd person)",97,,"Verb, Verb",Venir
vengo,,97,,"Verb, Verb",Venir
venido,venido: come (Venir participle),97,,"Verb, Verb",Venir
venimos,"venimos: come, we come (Venir, present, 1st person plural)",97,,"Verb, Verb",Venir
venir,venir: to come (Venir infinitive),97,,"Verb, Verb",Venir
viene,"viene: comes, he/she/it comes (Venir, present, 3rd person)",97,,"Verb, Verb",Venir
vienen,"vienen: come, they come (Venir, present, 3rd person plural)",97,,"Verb, Verb",Venir
vienes,"vienes: come, you come (Venir, present, 2nd person)",97,,"Verb, Verb",Venir
vine,"vine: came, I came (Venir, preterite, 1st person)",97,,"Verb, Verb",Venir
vinieron,"vinieron: came, they came (Venir, preterite, 3rd person plural)",97,,"Verb, Verb",Venir
vinimos,"vinimos: came, we came (Venir, preterite, 1st person plural)",97,,"Verb, Verb",Venir
viniste,"viniste: came, you came (Venir, preterite, 2nd person)",97,,"Verb, Verb",Venir
vino,"vino: came, he/she/it came (Venir, preterite, 3rd person)",97,,"Verb, Verb",Venir
algún,"algún: ""some"" (singular masculine adjective)",98,,"Adjective, Indefinite",
alguna,"alguna or algunas: ""some""/""several"" (feminine adjective)",98,,"Adjective, Indefinite",
alguno,"alguno: ""some"" (masculine pronoun)",98,,"Pronoun, Indefinite",
algunos,"algunos: ""some""/""several"" (plural masculine adjective)",98,,"Adjective, Indefinite",
bastante,"bastante/bastantes: ""quite a bit of"" (adjective)",98,,"Adjective, Indefinite",
cada,"cada: ""each"" (adjective, masc. or fem.)",98,,"Adjective, Indefinite",
ciertos,"ciertos/ciertas: ""certain"" (adjective)",98,,"Adjective, Indefinite",
cualquier,"cualquier: ""any"" (adjective)",98,,"Adjective, Indefinite",
demasiado,"demasiado: ""too much"", ""a whole lot of"" (adjective)",98,,"Adjective, Indefinite",
ninguno,"ninguno/ningún/ninguna: ""none"", ""no"" (adjective)",98,,"Adjective, Indefinite",
ninguno,"ninguno/ninguna: ""none"" (pronoun)",98,,"Pronoun, Indefinite",
poco,"poco: ""few""/""little"" (adjective)",98,,"Adjective, Indefinite",
suficiente,"suficiente: ""enough"" (adjective)",98,,"Adjective, Indefinite",
tal,"tal: ""such"" (adjective)",98,,"Adjective, Indefinite",
tanto,"tanto: ""so much"" (adjective)",98,,"Adjective, Indefinite",
agua,agua: water (fem. noun),99,,"Noun, Noun",
algo de,"algo de: ""some"" for mass nouns (idiom)",99,,"Cluster, Idiom",
auto,auto: car (masc. noun),99,,"Noun, Noun",
comida,comida: food (fem. noun),99,,"Noun, Noun",
como tal,"como tal: ""as such"" (idiom)",99,,"Cluster, Idiom",
dinero,dinero: money (masc. noun),99,,"Noun, Noun",
dólares,dolar: dollar (masc. noun),99,,"Noun, Noun",
equipo,equipo: equipment (masc. mass noun),99,,"Noun, Noun",
libro,libro: book (masc. noun),99,,"Noun, Noun",
luz,luz: light (fem. noun),99,,"Noun, Noun",
mesa,mesa: table (fem. noun),99,,"Noun, Noun",
por tal razón,"por tal razón: ""for such a reason"" (idiom)",99,,"Cluster, Idiom",
qué tal,"qué tal: ""what's up"", ""how is"" (idiom)",99,,"Cluster, Idiom",
tal vez,"tal vez: ""perhaps"" (idiom)",99,,"Cluster, Idiom",
cada vez más,"cada vez más: ""more and more"" (idiom)",100,,"Cluster, Idiom",
cada vez menos,"cada vez menos: ""less and less"" (idiom)",100,,"Cluster, Idiom",
nos vemos,"nos vemos: ""see you"" (idiom)",100,,"Cluster, Idiom",
"nos/se to mean ""each other""","nos or se to mean ""each other"" (idiom)",100,,"Cluster, Idiom",
de,"de used to mean ""about"", as in ""hablar de""",101,,"Preposition, Preposition",
español,español: Spanish (masc. noun),101,,"Noun, Noun",
habla,"habla: speaks, he/she/it speaks (Hablar, present, 3rd person)",101,,"Verb, Verb",Hablar
habla,"habla: speak (Hablar, imperative, 2nd person)",101,,"Verb, Verb",Hablar
hablaba,"hablaba: was speaking, he/she/it was speaking (Hablar, imperfect, 3rd person)",101,,"Verb, Verb",Hablar
hablaba,"hablaba: was speaking, I was speaking (Hablar, imperfect, 1st person)",101,,"Verb, Verb",Hablar
hablábamos,"hablábamos: were speaking, we were speaking (Hablar, imperfect, 1st person plural)",101,,"Verb, Verb",Hablar
hablaban,"hablaban: were speaking, they were speaking (Hablar, imperfect, 3rd person plural)",101,,"Verb, Verb",Hablar
hablabas,"hablabas: were speaking, you were speaking (Hablar, imperfect, 2nd person)",101,,"Verb, Verb",Hablar
hablado,hablado: spoken (Hablar participle),101,,"Verb, Verb",Hablar
hablamos,"hablamos: speak, we speak (Hablar, present, 1st person plural)",101,,"Verb, Verb",Hablar
hablamos,"hablamos: spoke, we spoke (Hablar, preterite, 1st person plural)",101,,"Verb, Verb",Hablar
hablan,"hablan: speak, they speak (Hablar, present, 3rd person plural)",101,,"Verb, Verb",Hablar
hablando,hablando: speaking (Hablar gerund),101,,"Verb, Verb",Hablar
hablar,hablar: to speak / to talk (Hablar infinitive),101,,"Verb, Verb",Hablar
hablará,"hablará: will speak, he/she/it will speak (Hablar, future, 3rd person)",101,,"Verb, Verb",Hablar
hablarán,"hablarán: will speak, they will speak (Hablar, future, 3rd person plural)",101,,"Verb, Verb",Hablar
hablarás,"hablarás: will speak, you will speak (Hablar, future, 2nd person)",101,,"Verb, Verb",Hablar
hablaré,"hablaré: will speak, I will speak (Hablar, future, 1st person)",101,,"Verb, Verb",Hablar
hablaremos,"hablaremos: will speak, we will speak (Hablar, future, 1st person plural)",101,,"Verb, Verb",Hablar
hablaron,"hablaron: spoke, they spoke (Hablar, preterite, 3rd person plural)",101,,"Verb, Verb",Hablar
hablas,"hablas: speak, you speak (Hablar, present, 2nd person)",101,,"Verb, Verb",Hablar
hablaste,"hablaste: spoke, you spoke (Hablar, preterite, 2nd person)",101,,"Verb, Verb",Hablar
hable,"hable: speak, I speak (Hablar, subjunctive, 1st person)",101,,"Verb, Verb",Hablar
hable,"hable: speak, he/she/it speak (Hablar, subjunctive, 3rd person)",101,,"Verb, Verb",Hablar
hable,"hable: speak (Hablar, formal imperative)",101,,"Verb, Verb",Hablar
hablé,"hablé: spoke, I spoke (Hablar, preterite, 1st person)",101,,"Verb, Verb",Hablar
hablemos,"hablemos: speak, we speak (Hablar, subjunctive, 1st person plural)",101,,"Verb, Verb",Hablar
hablemos,"hablemos: let's speak (Hablar, imperative, 1st person plural)",101,,"Verb, Verb",Hablar
hablen,"hablen: speak, they speak (Hablar, subjunctive, 3rd person plural)",101,,"Verb, Verb",Hablar
hables,"hables: speak, you speak (Hablar, subjunctive, 2nd person)",101,,"Verb, Verb",Hablar
hables,hables: speak (Hablar for negative imperatives),101,,"Verb, Verb",Hablar
hablo,"hablo: speak, I speak (Hablar, present, 1st person)",101,,"Verb, Verb",Hablar
habló,"habló: spoke, he/she/it spoke (Hablar, preterite, 3rd person)",101,,"Verb, Verb",Hablar
pasa,pasa: pass (Pasar imperative),102,,"Verb, Verb",Pasar
pasa,"pasa: passes, he/she/it passes (Pasar, present, 3rd person)",102,,"Verb, Verb",Pasar
pasado,pasado: passed (Pasar participle),102,,"Verb, Verb",Pasar
pasamos,"pasamos: pass, we pass (Pasar, present, 1st person plural)",102,,"Verb, Verb",Pasar
pasan,"pasan: pass, they pass (Pasar, present, 3rd person plural)",102,,"Verb, Verb",Pasar
pasando,pasando: passing (Pasar gerund),102,,"Verb, Verb",Pasar
pasar,pasar: to pass (Pasar infinitive),102,,"Verb, Verb",Pasar
pasará,"pasará: will pass, he/she/it will pass (Pasar, future, 3rd person)",102,,"Verb, Verb",Pasar
pasaré,"pasaré: will pass, I will pass (Pasar, future, 1st person)",102,,"Verb, Verb",Pasar
pasarlo,pasarlo: to pass it (Pasar infinitive contraction),102,,"Verb, Verb",Pasar
pasas,"pasas: pass, you pass (Pasar, present, 2nd person)",102,,"Verb, Verb",Pasar
pase,"pase: pass, he/she/it pass (Pasar, subjunctive, 3rd person)",102,,"Verb, Verb",Pasar
pase,"pase: pass, I pass (Pasar, subjunctive, 1st person)",102,,"Verb, Verb",Pasar
pase,pase: pass (Pasar formal imperative),102,,"Verb, Verb",Pasar
pasé,"pasé: passed, I passed (Pasar, preterite, 1st person)",102,,"Verb, Verb",Pasar
pasemos,"pasemos: pass, we pass (Pasar, subjunctive, 1st person plural)",102,,"Verb, Verb",Pasar
pasemos,pasemos: let’s pass (Pasar plural imperative),102,,"Verb, Verb",Pasar
pasen,"pasen: pass, they pass (Pasar, subjunctive, 3rd person plural)",102,,"Verb, Verb",Pasar
pasen,pasen: pass (Pasar plural imperative),102,,"Verb, Verb",Pasar
pases,"pases: pass, you pass (Pasar, subjunctive, 2nd person)",102,,"Verb, Verb",Pasar
pases,pases: pass (Pasar negative imperative),102,,"Verb, Verb",Pasar
paso,"paso: pass, I pass (Pasar, present, 1st person)",102,,"Verb, Verb",Pasar
pasó,"pasó: passed, he/she/it passed (Pasar, preterite, 3rd person)",102,,"Verb, Verb",Pasar
adiós,adiós: goodbye (interjection),103,,"Interjection, Greetings",
ah,"ah: ""ah"" (interjection)",103,,"Interjection, Emotional",
ay,ay: ouch/yikes (interjection),103,,"Interjection, Emotional",
basta,basta: enough/stop (interjection),103,,"Interjection, Informational",
bueno,"bueno: ""all right"" (interjection)",103,,"Interjection, Emotional",
claro,"claro: ""of course!"" / ""sure!"" (interjection)",103,,"Interjection, Informational",
cuanto,"cuanto: ""as much"" or ""as much as"" (indefinite adjective)",103,,"Adjective, Indefinite",
cuanto,"cuanto used with a subjunctive to mean ""as much as"", as in “cuanto quiera” (pronoun)",103,,"Pronoun, Indefinite",
cuanto más,"cuanto más: ""the more..."" (idiom)",103,,"Cluster, Idiom",
cuanto menos,"cuanto menos: ""the less..."" (idiom)",103,,"Cluster, Idiom",
cuántos,"cuántos: ""how many"" (interrogative indefinite adjective)",103,,"Adjective, Indefinite",
dale,"dale: ""go ahead"" / ""OK"" (interjection)",103,,"Interjection, Informational",
eh,"eh: ""eh""/""um"" (interjection)",103,,"Interjection, Informational",
hey,"hey: ""hey"" (interjection)",103,,"Interjection, Greetings",
oh,"oh: ""oh"" (interjection)",103,,"Interjection, Emotional",
okey,"okey: ""OK"" (interjection)",103,,"Interjection, Emotional",
perdón,"perdón: ""sorry"" / ""pardon me"" (interjection)",103,,"Interjection, Informational",
pues,"pues: ""well..."" as a filler word (interjection)",103,,"Interjection, Informational",
unos cuantos,"cuantos: ""a small number of"" (idiom)",103,,"Cluster, Idiom",
al final,"al final: ""in the end"" (idiom)",104,,"Cluster, Idiom",
en fin,en fin: “anyway” / “in a nutshell” / “all in all” (idiom),104,,"Cluster, Idiom",
fin,fin: end (masc. noun),104,,"Noun, Noun",
final,final: ending (masc. noun),104,,"Noun, Noun",
medio,medio: middle (masc. noun),104,,"Noun, Noun",
muerte,muerte: death (fem. noun),104,,"Noun, Noun",
número,número: number (masc. noun),104,,"Noun, Noun",
par,par: couple (masc. noun),104,,"Noun, Noun",
por fin,"por fin: ""finally"" (idiom)",104,,"Cluster, Idiom",
punto,punto: point/spot (masc. noun),104,,"Noun, Noun",
en cuanto a,"en cuanto a: ""regarding..."" (idiom)",105,,"Cluster, Prepositional Cluster",
no pasa nada,"no pasa nada: ""it's fine"" (idiom)",105,,"Cluster, Idiom",
pasarlo bien,"pasarlo bien: ""to have a good time"" (idiom)",105,,"Cluster, Idiom",
debe,"debe: must, he/she/it must (Deber, present, 3rd person)",106,,"Verb, Verb",Deber
debemos,"debemos:must, we must (Deber, present, 1st person plural)",106,,"Verb, Verb",Deber
deben,"deben: must, they must (Deber, present, 3rd person plural)",106,,"Verb, Verb",Deber
deber,deber: must (Deber infinitive),106,,"Verb, Verb",Deber
debes,"debes: must, you must (Deber, present, 2nd person)",106,,"Verb, Verb",Deber
debo,"debo: must, I must (Deber, present, 1st person)",106,,"Verb, Verb",Deber
deba,"deba: must, I must (Deber, subjunctive, 1st person)",107,,"Verb, Verb",Deber
deba,"deba: must, he/she/it must (Deber, subjunctive, 3rd person)",107,,"Verb, Verb",Deber
debamos,"debamos: must, we must (Deber, subjunctive, 1st person plural)",107,,"Verb, Verb",Deber
debas,"debas:must, you must (Deber, subjunctive, 2nd person)",107,,"Verb, Verb",Deber
deberá,"deberá: will have to/must, he/she/it will have to/must (Deber, future, 3rd person)",107,,"Verb, Verb",Deber
deberán,"deberán: will have to, they will have to/must (Deber, future, 3rd person plural)",107,,"Verb, Verb",Deber
deberás,"deberás: will have to/must, you will will have to/must (Deber, future, 2nd person)",107,,"Verb, Verb",Deber
deberé,"deberé: will have to/must, I will have to /must (Deber, future, 1st person)",107,,"Verb, Verb",Deber
deberemos,"deberemos: will have to/must, we will have to/must (Deber, future, 1st person plural)",107,,"Verb, Verb",Deber
debería,"debería:should, I should (Deber, conditional, 1st person)",107,,"Verb, Verb",Deber
debería,"debería: should, he/she/it should (Deber, conditional, 3rd person)",107,,"Verb, Verb",Deber
deberíamos,"deberíamos: should, we should (Deber, conditional, 1st person plural)",107,,"Verb, Verb",Deber
deberían,"deberían: should, they should (Deber, conditional, 3rd person plural)",107,,"Verb, Verb",Deber
deberías,"deberías: should, you should (Deber, conditional, 2nd person)",107,,"Verb, Verb",Deber
debí,"debí: had to/must have, I  had to/must have (Deber, preterite, 1st person)",107,,"Verb, Verb",Deber
debía,"debía: had to/must have, I had to/must have (Deber, imperfect, 1st person)",107,,"Verb, Verb",Deber
debía,"debía: had to/must have, he/she/it had to/must have (Deber, imperfect, 3rd person)",107,,"Verb, Verb",Deber
debíamos,"debíamos: had to/must have, we had to/must have (Deber, imperfect, 1st person plural)",107,,"Verb, Verb",Deber
debían,"debían: had to/must have, they had to/must have(Deber, imperfect, 3rd person plural)",107,,"Verb, Verb",Deber
debías,"debías: had to/must have, you had to/must have (Deber, imperfect, 2nd person)",107,,"Verb, Verb",Deber
debido,debido: had to (Deber participle),107,,"Verb, Verb",Deber
debieron,"debieron: had to/must have, they had to/must have (Deber, preterite, 3rd person plural)",107,,"Verb, Verb",Deber
debimos,"debimos: had to/must have, we had to/must have (Deber, preterite, 1st person plural)",107,,"Verb, Verb",Deber
debió,"debió: had to/must have, he/she/it had to/must have (Deber, preterite, 3rd person)",107,,"Verb, Verb",Deber
debiste,"debiste: had to/must have, you had to/must have (Deber, preterite, 2nd person)",107,,"Verb, Verb",Deber
abajo,abajo: down/below (adverb),108,,"Adverb, Place, general",
acá,acá: here (adverb),108,,"Adverb, Place, general",
adelante,adelante: in front (adverb often used with de),108,,"Adverb, Place, de",
afuera,afuera: outside/outdoors (adverb),108,,"Adverb, Place, general",
allá,allá: yonder/there (adverb),108,,"Adverb, Place, here/there",
allí,allí: over there (adverb),108,,"Adverb, Place, here/there",
arriba,arriba: up/upwards (adverb often used with de),108,,"Adverb, Place, de",
atrás,atrás: back/backwards (adverb often used with de),108,,"Adverb, Place, de",
cerca,cerca: near (adverb often used with de),108,,"Adverb, Place, de",
dar un paso,dar un paso: take a step (idiom),108,,"Cluster, Idiom",
de aquí para allá,de aquí para allá: from here to there (idiom),108,,"Cluster, Idiom",
dentro,dentro: inside (adverb often used with de),108,,"Adverb, Place, de",
fuera,fuera: out/outside (adverb often used with de),108,,"Adverb, Place, de",
hacia atrás,hacia atrás: backwards (idiom),108,,"Cluster, Idiom",
lejos,lejos: far (adverb often used with de),108,,"Adverb, Place, de",
para acá,para acá: over here/in this direction (idiom),108,,"Cluster, Idiom",
para allá,para allá: over there [vague] (idiom),108,,"Cluster, Idiom",
paso,paso: step (masc. noun),108,,"Noun, Noun",
por allí,por allí: over there [precise] (idiom),108,,"Cluster, Idiom",
calle,calle: street (fem. noun),109,,"Noun, Noun",
ciudad,ciudad: city (fem. noun),109,,"Noun, Noun",
cualquier lado,cualquier lado: anywhere (idiom),109,,"Cluster, Idiom",
cuarto,cuarto: room (masc. noun),109,,"Noun, Noun",
de,"de used to single something out from a group, as in “él más grande del grupo”",109,,"Preposition, Preposition",
de atrás,de atrás: back (idiom),109,,"Cluster, Idiom",
escuela,escuela: school (fem. noun),109,,"Noun, Noun",
hospital,hospital: hospital (masc. noun),109,,"Noun, Noun",
hotel,hotel: hotel (masc. noun),109,,"Noun, Noun",
lado,lado: side/place (masc. noun),109,,"Noun, Noun",
mundo,mundo: world (masc. noun),109,,"Noun, Noun",
país,país: country (masc. noun),109,,"Noun, Noun",
parte,parte: part/place (masc. noun),109,,"Noun, Noun",
pueblo,pueblo: people (masc. noun),109,,"Noun, Noun",
pueblo,pueblo: town (masc. noun),109,,"Noun, Noun",
puerta,puerta: door (fem. noun),109,,"Noun, Noun",
tierra,tierra: earth (fem. noun),109,,"Noun, Noun",
todo el mundo,todo el mundo: everybody (idiom),109,,"Cluster, Idiom",
tener que ver,tener que ver: have to do (with) (idiom),110,,"Cluster, Idiom",
deja,deja: leave/let (Dejar imperative),111,,"Verb, Verb",Dejar
deja,"deja: stop/leave/allow, he/she/it stop/leave/allow (Dejar, present, 3rd person)",111,,"Verb, Verb",Dejar
dejado,dejado: stopped/left/allowed (Dejar participle),111,,"Verb, Verb",Dejar
déjame,déjame: leave me / let me (Dejar imperative contraction) NEEDS WORK,111,,"Verb, Verb",Dejar
dejamos,"dejamos: stop/leave/allow, we stop/leave/allow (Dejar, present, 1st person plural)",111,,"Verb, Verb",Dejar
dejamos,"dejamos: stopped/left/allowed, we __ (Dejar, preterite, 1st person plural)",111,,"Verb, Verb",Dejar
dejan,"dejan: stop/leave/allow, they stop/leave/allow (Dejar, present, 3rd person plural)",111,,"Verb, Verb",Dejar
dejar,dejar: stop/leave/allow (Dejar infinitive),111,,"Verb, Verb",Dejar
dejará,"dejará: will stop/leave/allow, he/she/it will stop/leave/allow (Dejar, present, 3rd person)",111,,"Verb, Verb",Dejar
dejaré,"dejaré: will stop/leave/allow, I will stop/leave/allow (Dejar, future, 1st person)",111,,"Verb, Verb",Dejar
dejaron,"dejaron: stopped/left/allowed, they stopped/left/allowed (Dejar, preterite, 3rd person plural)",111,,"Verb, Verb",Dejar
dejas,"dejas: stop/leave/allow, you stop/leave/allow (Dejar, present, 2nd person)",111,,"Verb, Verb",Dejar
dejaste,"dejaste: stopped/left/allowed, you stopped/left/allowed (Dejar, preterite, 2nd person)",111,,"Verb, Verb",Dejar
deje,"deje: stop/leave/allow, he/she/it stop/leave/allow (Dejar, subjunctive, 3rd person)",111,,"Verb, Verb",Dejar
deje,deje: leave/let (Dejar formal imperative),111,,"Verb, Verb",Dejar
deje,"deje: stop/leave/allow, I stop/leave/allow (Dejar, subjunctive, 1st person)",111,,"Verb, Verb",Dejar
dejé,"dejé: stopped/left/allowed, I stopped/left/allowed (Dejar, preterite, 1st person)",111,,"Verb, Verb",Dejar
dejes,"dejes: stop/leave/allow, you stop/leave/allow(Dejar, subjunctive, 2nd person)",111,,"Verb, Verb",Dejar
dejes,dejes: leave/let (Dejar negative imperative),111,,"Verb, Verb",Dejar
dejo,"dejo: stop/leave/allow, I stop/leave/allow (Dejar, present, 1st person)",111,,"Verb, Verb",Dejar
dejó,"dejó: stopped/left/allowed, he/she/it  stopped/left/allowed (Dejar, preterite, 3rd person)",111,,"Verb, Verb",Dejar
espera,"espera: hope/wait/expect, he/she/it hope/wait/expect (Esperar, present, 3rd person)",112,,"Verb, Verb",Esperar
espera,espera: wait (Esperar imperative),112,,"Verb, Verb",Esperar
esperaba,"esperaba: hoped/waited/expected, I hoped/waited/expected (Esperar, imperfect, 1st person)",112,,"Verb, Verb",Esperar
esperaba,"esperaba: hoped/waited/expected, he/she/it hoped/waited/expected (Esperar, imperfect, 3rd person)",112,,"Verb, Verb",Esperar
esperamos,"esperamos: hope/wait/expect, we hope/wait/expect (Esperar, present, 1st person plural)",112,,"Verb, Verb",Esperar
esperamos,"esperamos: hoped/waited/expected, we hoped/waited/expected (Esperar, preterite, 1st person plural)",112,,"Verb, Verb",Esperar
esperan,"esperan: hope/wait/expect, they hope/wait/expect (Esperar, present, 3rd person plural)",112,,"Verb, Verb",Esperar
esperando,esperando: hoping/waiting /expecting (Esperar gerund),112,,"Verb, Verb",Esperar
esperar,esperar: hope/wait/expect (Esperar infinitive),112,,"Verb, Verb",Esperar
esperas,"esperas: hope/wait/expect, you hope/wait/expect (Esperar, present, 2nd person)",112,,"Verb, Verb",Esperar
espere,"espere: hope/wait/expect, he/she/it hope/wait/expect (Esperar, subjunctive, 3rd person)",112,,"Verb, Verb",Esperar
espere,espere: wait (Esperar formal imperative),112,,"Verb, Verb",Esperar
esperen,"esperen: hope/wait/expect, they hope/wait/expect (Esperar, subjunctive, 3rd person plural)",112,,"Verb, Verb",Esperar
esperen,esperen: wait (Esperar plural imperative),112,,"Verb, Verb",Esperar
espero,"espero: hope/wait/expect, I hope/wait/expect (Esperar, present, 1st person)",112,,"Verb, Verb",Esperar
acerca,acerca: “about” (adverb used with de),113,,"Adverb, Manner, other",
alto,"alto: ""loudly""/""high"" (adverb)",113,,"Adverb, Manner, other",
bajo,"bajo: ""quietly""/""low"" (adverb)",113,,"Adverb, Manner, other",
bastante,bastante: quite/fairly (adverb),113,,"Adverb, Quantity (amount/degree)",
igual,igual: in the same way / equally (adverb),113,,"Adverb, Manner, other",
jamás,jamás: never (adverb),113,,"Adverb, Time, general",
justo,justo: just (adverb),113,,"Adverb, Quantity (amount/degree)",
medio,medio: kind of (adverb),113,,"Adverb, Quantity (amount/degree)",
nada,nada: not at all (adverb),113,,"Adverb, Quantity (amount/degree)",
peor,peor: worse/worst (adjective),113,,"Adjective, Ser, comparative",
